Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
Inh_L6_LAMP5_C1QL2,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L6_LAMP5_C1QL2,,,CGE,LAMP5/PAX6
Inh_L6_LAMP5_C1QL2,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L6_LAMP5_C1QL2,,,CGE,LAMP5/PAX6
Inh_L6_LAMP5_C1QL2,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L6_LAMP5_C1QL2,,,CGE,LAMP5/PAX6
Inh_L6_LHX6_GLP1R,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L6_LHX6_GLP1R,,,MGE,
Inh_L6_LHX6_GLP1R,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L6_LHX6_GLP1R,,,MGE,
Inh_L6_LHX6_GLP1R,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L6_LHX6_GLP1R,,,MGE,
Inh_L6_LHX6_GLP1R,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L6_LHX6_GLP1R,,,MGE,
Inh_L6_SST_NPY,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L6_SST_NPY,,,MGE,SST
Inh_L6_SST_NPY,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L6_SST_NPY,,,MGE,SST
Inh_L6_SST_NPY,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L6_SST_NPY,,,MGE,SST
Inh_L6_SST_NPY,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L6_SST_NPY,,,MGE,SST
Inh_L6_SST_TH,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L6_SST_TH,,Sst,MGE,SST
Inh_L6_SST_TH,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L6_SST_TH,,Sst,MGE,SST
Inhib_2_VIP,Nagy_2020_10x_Chromium_V2_BA9,INH,Nagy_2020_10x_Chromium_V2_BA9_Inhib_2_VIP,,,CGE,VIP
Inhib_3_SST,Nagy_2020_10x_Chromium_V2_BA9,INH,Nagy_2020_10x_Chromium_V2_BA9_Inhib_3_SST,,,MGE,SST
Inhib_4_SST,Nagy_2020_10x_Chromium_V2_BA9,INH,Nagy_2020_10x_Chromium_V2_BA9_Inhib_4_SST,,,MGE,SST
Inhib_6_SST,Nagy_2020_10x_Chromium_V2_BA9,INH,Nagy_2020_10x_Chromium_V2_BA9_Inhib_6_SST,,,MGE,SST
Inhib_7_PVALB,Nagy_2020_10x_Chromium_V2_BA9,INH,Nagy_2020_10x_Chromium_V2_BA9_Inhib_7_PVALB,,,MGE,PVALB
Inhib_8_PVALB,Nagy_2020_10x_Chromium_V2_BA9,INH,Nagy_2020_10x_Chromium_V2_BA9_Inhib_8_PVALB,,,MGE,PVALB
InN_LAMP5_CHST9,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_LAMP5_CHST9,,,CGE,LAMP5/PAX6
InN_LAMP5_KIT,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_LAMP5_KIT,,,CGE,LAMP5/PAX6
InN_LAMP5_NMBR,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_LAMP5_NMBR,,,CGE,LAMP5/PAX6
InN_LHX6_AC008415.1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_LHX6_AC008415.1,,,MGE,
InN_PVALB_MEPE,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_PVALB_MEPE,,,MGE,PVALB
InN_PVALB_PLCL1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_PVALB_PLCL1,,,MGE,PVALB
InN_PVALB_PLEKHH2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_PVALB_PLEKHH2,,,MGE,PVALB
InN_SST_EPB41L4A,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_SST_EPB41L4A,,,MGE,SST
InN_SST_NPY,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_SST_NPY,,,MGE,SST
InN_SST_OTOF,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_SST_OTOF,,,MGE,SST
InN_VIP_ABI3BP,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_VIP_ABI3BP,,,CGE,VIP
InN_VIP_CHRNA2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_VIP_CHRNA2,,,CGE,VIP
InN_VIP_NOX4,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_VIP_NOX4,,,CGE,VIP
InN_VIP_PENK,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_VIP_PENK,,,CGE,VIP
InN_VIP_SCML4,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_VIP_SCML4,,,CGE,VIP
InN_VIP_SCTR,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,INH,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_InN_VIP_SCTR,,,CGE,VIP
L2_4_RORB,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L2.4_RORB,,,RORB,L2-4
L4,Velmeshev_2019_10x_Chromium_BA24,EXC,Velmeshev_2019_10x_Chromium_BA24_L4,,,,L4
L4,Velmeshev_2019_10x_Chromium_Prefrontal_cortex,EXC,Velmeshev_2019_10x_Chromium_Prefrontal_cortex_L4,,,,L4
L4_5_FOXP2,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L4.5_FOXP2,,,,L4-5
L4_5_TOX,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L4.5_TOX,,,,L4-5
L4_6_LRRK1,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L4.6_LRRK1,,,,L4-6
L4_excitatory_neuron,Yang_2021_10x_Chromium_V3_Medial_frontal_gyrus,EXC,Yang_2021_10x_Chromium_V3_Medial_frontal_gyrus_L4_excitatory_neuron,,,,L4
L4_PLCH,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L4_PLCH,,,,L4
L4_PLCH1,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L4_PLCH1,,,,L4
L5_6_PDZRN4,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L5.6_PDZRN4,,,,L5-6
L6_TLE4,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L6_TLE4,,,,L6
L6_TSHZ2,Luo_2019_snmCAT-seq_BA10,EXC,Luo_2019_snmCAT-seq_BA10_L6_TSHZ2,,,,L6
MGE_B3GAT2,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_MGE_B3GAT2,,,MGE,
